ROI,Effect,MeanEffect,StdEffect,StderrEffect
17,DiffAll,0.272686,0.626489,0.255763
17,Cont,0.103088,0.523850,0.213861
17,DiffAll-Cont,0.169598,0.873516,0.356611
17,SameMan-Cont,0.014745,0.666005,0.271896
17,SamePath-Cont,0.008283,0.432065,0.176390
17,SameAg-Cont,-0.021858,0.391213,0.159712
17,SameAll-Cont,-0.013337,0.278128,0.113545
17,All-Cont,0.031486,0.410801,0.167709
17,DiffAll-SameAll,0.182935,0.812665,0.331769
17,DiffAll-SameMan,0.154853,0.542740,0.221573
17,DiffAll-SamePath,0.161315,0.736078,0.300502
17,DiffAll-SameAg,0.191456,0.921727,0.376293
17,SameMan-SameAll,0.028082,0.680474,0.277802
17,SamePath-SameAll,0.021621,0.469329,0.191603
17,SameAg-SameAll,-0.008521,0.562281,0.229550
18,SameAll,0.021568,0.441096,0.180077
18,SameMan,0.144830,0.453142,0.184994
18,SamePath,0.027692,0.362140,0.147843
18,SameAg,0.085503,0.321365,0.131197
18,DiffAll,0.367671,0.838227,0.342205
18,Cont,0.123765,0.418716,0.170940
18,DiffAll-Cont,0.243905,1.014844,0.414308
18,SameMan-Cont,0.021064,0.666094,0.271932
18,SamePath-Cont,-0.096073,0.271694,0.110919
18,SameAg-Cont,-0.038263,0.190863,0.077920
18,SameAll-Cont,-0.102198,0.272196,0.111123
18,All-Cont,0.005687,0.354823,0.144856
18,DiffAll-SameAll,0.346103,0.987092,0.402979
18,DiffAll-SameMan,0.222841,0.502089,0.204977
18,DiffAll-SamePath,0.339978,1.113014,0.454386
18,DiffAll-SameAg,0.282168,0.990880,0.404525
18,SameMan-SameAll,0.123262,0.694062,0.283350
18,SamePath-SameAll,0.006125,0.287605,0.117414
18,SameAg-SameAll,0.063935,0.302492,0.123492
