"ROIName","Subject","Contrast","nVoxels","SignalChange"
1,"522_FED_20161228e_3T2_PL2017","DiffAll-SameAll",103,-0.34209
1,"522_FED_20161228e_3T2_PL2017","DiffAll-SameMan",103,0.1621
1,"522_FED_20161228e_3T2_PL2017","DiffAll-SamePath",103,-0.15427
1,"522_FED_20161228e_3T2_PL2017","DiffAll-SameAg",103,-0.052248
1,"522_FED_20161228e_3T2_PL2017","SameMan-SameAll",103,-0.50419
1,"522_FED_20161228e_3T2_PL2017","SamePath-SameAll",103,-0.18782
1,"522_FED_20161228e_3T2_PL2017","SameAg-SameAll",103,-0.289842
1,"516_FED_20161217a_3T2_PL2017","SameAll",103,-0.16364
1,"516_FED_20161217a_3T2_PL2017","SameMan",103,0.278193
1,"516_FED_20161217a_3T2_PL2017","SamePath",103,0.250602
1,"516_FED_20161217a_3T2_PL2017","SameAg",103,0.501398
1,"516_FED_20161217a_3T2_PL2017","DiffAll",103,0.397987
1,"516_FED_20161217a_3T2_PL2017","Cont",103,0.355534
1,"516_FED_20161217a_3T2_PL2017","DiffAll-Cont",103,0.042453
1,"516_FED_20161217a_3T2_PL2017","SameMan-Cont",103,-0.077341
1,"516_FED_20161217a_3T2_PL2017","SamePath-Cont",103,-0.104932
1,"516_FED_20161217a_3T2_PL2017","SameAg-Cont",103,0.145864
1,"516_FED_20161217a_3T2_PL2017","SameAll-Cont",103,-0.519174
1,"516_FED_20161217a_3T2_PL2017","All-Cont",103,-0.102626
1,"516_FED_20161217a_3T2_PL2017","DiffAll-SameAll",103,0.561627
1,"516_FED_20161217a_3T2_PL2017","DiffAll-SameMan",103,0.119794
1,"516_FED_20161217a_3T2_PL2017","DiffAll-SamePath",103,0.147385
1,"516_FED_20161217a_3T2_PL2017","DiffAll-SameAg",103,-0.103411
1,"516_FED_20161217a_3T2_PL2017","SameMan-SameAll",103,0.441833
1,"516_FED_20161217a_3T2_PL2017","SamePath-SameAll",103,0.414242
1,"516_FED_20161217a_3T2_PL2017","SameAg-SameAll",103,0.665038
1,"424_FED_20161228c_3T2_PL2017","SameAll",103,-0.458295
1,"424_FED_20161228c_3T2_PL2017","SameMan",103,0.087185
1,"424_FED_20161228c_3T2_PL2017","SamePath",103,0.010791
1,"424_FED_20161228c_3T2_PL2017","SameAg",103,-0.17792
1,"424_FED_20161228c_3T2_PL2017","DiffAll",103,-0.37819
1,"424_FED_20161228c_3T2_PL2017","Cont",103,-0.786421
1,"424_FED_20161228c_3T2_PL2017","DiffAll-Cont",103,0.408231
1,"424_FED_20161228c_3T2_PL2017","SameMan-Cont",103,0.873606
1,"424_FED_20161228c_3T2_PL2017","SamePath-Cont",103,0.797212
1,"424_FED_20161228c_3T2_PL2017","SameAg-Cont",103,0.608501
1,"424_FED_20161228c_3T2_PL2017","SameAll-Cont",103,0.328127
1,"424_FED_20161228c_3T2_PL2017","All-Cont",103,0.603135
1,"424_FED_20161228c_3T2_PL2017","DiffAll-SameAll",103,0.080105
1,"424_FED_20161228c_3T2_PL2017","DiffAll-SameMan",103,-0.465375
1,"424_FED_20161228c_3T2_PL2017","DiffAll-SamePath",103,-0.388981
1,"424_FED_20161228c_3T2_PL2017","DiffAll-SameAg",103,-0.20027
1,"424_FED_20161228c_3T2_PL2017","SameMan-SameAll",103,0.545479
1,"424_FED_20161228c_3T2_PL2017","SamePath-SameAll",103,0.469086
1,"424_FED_20161228c_3T2_PL2017","SameAg-SameAll",103,0.280375
1,"426_FED_20161215c_3T2_PL2017","SameAll",103,0.104231
1,"426_FED_20161215c_3T2_PL2017","SameMan",103,-0.807707
1,"426_FED_20161215c_3T2_PL2017","SamePath",103,-0.986428
1,"426_FED_20161215c_3T2_PL2017","SameAg",103,-0.168204
1,"426_FED_20161215c_3T2_PL2017","DiffAll",103,0.174735
1,"426_FED_20161215c_3T2_PL2017","Cont",103,0.185095
1,"426_FED_20161215c_3T2_PL2017","DiffAll-Cont",103,-0.01036
1,"426_FED_20161215c_3T2_PL2017","SameMan-Cont",103,-0.992802
1,"426_FED_20161215c_3T2_PL2017","SamePath-Cont",103,-1.171522
1,"426_FED_20161215c_3T2_PL2017","SameAg-Cont",103,-0.353299
1,"426_FED_20161215c_3T2_PL2017","SameAll-Cont",103,-0.080864
1,"426_FED_20161215c_3T2_PL2017","All-Cont",103,-0.521769
1,"426_FED_20161215c_3T2_PL2017","DiffAll-SameAll",103,0.070504
1,"426_FED_20161215c_3T2_PL2017","DiffAll-SameMan",103,0.982443
1,"426_FED_20161215c_3T2_PL2017","DiffAll-SamePath",103,1.161163
1,"426_FED_20161215c_3T2_PL2017","DiffAll-SameAg",103,0.34294
1,"426_FED_20161215c_3T2_PL2017","SameMan-SameAll",103,-0.911938
1,"426_FED_20161215c_3T2_PL2017","SamePath-SameAll",103,-1.090659
1,"426_FED_20161215c_3T2_PL2017","SameAg-SameAll",103,-0.272435
2,"334_FED_20161221a_3T2_PL2017","SameAll",139,-0.093368
2,"334_FED_20161221a_3T2_PL2017","SameMan",139,-0.203982
2,"334_FED_20161221a_3T2_PL2017","SamePath",139,0.016244
2,"334_FED_20161221a_3T2_PL2017","SameAg",139,-0.513647
2,"334_FED_20161221a_3T2_PL2017","DiffAll",139,0.194186
2,"334_FED_20161221a_3T2_PL2017","Cont",139,0.129275
2,"334_FED_20161221a_3T2_PL2017","DiffAll-Cont",139,0.064911
2,"334_FED_20161221a_3T2_PL2017","SameMan-Cont",139,-0.333257
2,"334_FED_20161221a_3T2_PL2017","SamePath-Cont",139,-0.113031
2,"334_FED_20161221a_3T2_PL2017","SameAg-Cont",139,-0.642922
2,"334_FED_20161221a_3T2_PL2017","SameAll-Cont",139,-0.222643
2,"334_FED_20161221a_3T2_PL2017","All-Cont",139,-0.249388
2,"334_FED_20161221a_3T2_PL2017","DiffAll-SameAll",139,0.287554
2,"334_FED_20161221a_3T2_PL2017","DiffAll-SameMan",139,0.398168
2,"334_FED_20161221a_3T2_PL2017","DiffAll-SamePath",139,0.177941
2,"334_FED_20161221a_3T2_PL2017","DiffAll-SameAg",139,0.707833
2,"334_FED_20161221a_3T2_PL2017","SameMan-SameAll",139,-0.110614
2,"334_FED_20161221a_3T2_PL2017","SamePath-SameAll",139,0.109613
2,"334_FED_20161221a_3T2_PL2017","SameAg-SameAll",139,-0.420279
2,"479_FED_20161228d_3T2_PL2017","SameAll",139,-0.1522
2,"479_FED_20161228d_3T2_PL2017","SameMan",139,-0.2638
2,"479_FED_20161228d_3T2_PL2017","SamePath",139,0.138463
2,"479_FED_20161228d_3T2_PL2017","SameAg",139,0.599236
2,"479_FED_20161228d_3T2_PL2017","DiffAll",139,-0.122987
2,"479_FED_20161228d_3T2_PL2017","Cont",139,-0.331707
2,"479_FED_20161228d_3T2_PL2017","DiffAll-Cont",139,0.20872
2,"479_FED_20161228d_3T2_PL2017","SameMan-Cont",139,0.067907
2,"479_FED_20161228d_3T2_PL2017","SamePath-Cont",139,0.470171
2,"479_FED_20161228d_3T2_PL2017","SameAg-Cont",139,0.930943
2,"479_FED_20161228d_3T2_PL2017","SameAll-Cont",139,0.179507
2,"479_FED_20161228d_3T2_PL2017","All-Cont",139,0.37145
2,"479_FED_20161228d_3T2_PL2017","DiffAll-SameAll",139,0.029213
2,"479_FED_20161228d_3T2_PL2017","DiffAll-SameMan",139,0.140814
2,"479_FED_20161228d_3T2_PL2017","DiffAll-SamePath",139,-0.26145
2,"479_FED_20161228d_3T2_PL2017","DiffAll-SameAg",139,-0.722223
2,"479_FED_20161228d_3T2_PL2017","SameMan-SameAll",139,-0.111601
2,"479_FED_20161228d_3T2_PL2017","SamePath-SameAll",139,0.290663
2,"479_FED_20161228d_3T2_PL2017","SameAg-SameAll",139,0.751436
2,"522_FED_20161228e_3T2_PL2017","SameAll",139,0.436771
2,"522_FED_20161228e_3T2_PL2017","SameMan",139,0.194695
2,"522_FED_20161228e_3T2_PL2017","SamePath",139,-0.070982
2,"522_FED_20161228e_3T2_PL2017","SameAg",139,0.196585
2,"522_FED_20161228e_3T2_PL2017","DiffAll",139,0.239384
2,"522_FED_20161228e_3T2_PL2017","Cont",139,0.569616
2,"522_FED_20161228e_3T2_PL2017","DiffAll-Cont",139,-0.330232
2,"522_FED_20161228e_3T2_PL2017","SameMan-Cont",139,-0.374921
2,"522_FED_20161228e_3T2_PL2017","SamePath-Cont",139,-0.640598
2,"522_FED_20161228e_3T2_PL2017","SameAg-Cont",139,-0.373032
2,"522_FED_20161228e_3T2_PL2017","SameAll-Cont",139,-0.132845
2,"522_FED_20161228e_3T2_PL2017","All-Cont",139,-0.370326
2,"522_FED_20161228e_3T2_PL2017","DiffAll-SameAll",139,-0.197387
2,"522_FED_20161228e_3T2_PL2017","DiffAll-SameMan",139,0.044689
2,"522_FED_20161228e_3T2_PL2017","DiffAll-SamePath",139,0.310366
2,"522_FED_20161228e_3T2_PL2017","DiffAll-SameAg",139,0.042799
2,"522_FED_20161228e_3T2_PL2017","SameMan-SameAll",139,-0.242076
2,"522_FED_20161228e_3T2_PL2017","SamePath-SameAll",139,-0.507753
2,"522_FED_20161228e_3T2_PL2017","SameAg-SameAll",139,-0.240186
2,"516_FED_20161217a_3T2_PL2017","SameAll",139,0.010772
2,"516_FED_20161217a_3T2_PL2017","SameMan",139,0.108157
2,"516_FED_20161217a_3T2_PL2017","SamePath",139,0.278618
2,"516_FED_20161217a_3T2_PL2017","SameAg",139,0.180445
2,"516_FED_20161217a_3T2_PL2017","DiffAll",139,-0.045872
2,"516_FED_20161217a_3T2_PL2017","Cont",139,-0.049495
2,"516_FED_20161217a_3T2_PL2017","DiffAll-Cont",139,0.003623
2,"516_FED_20161217a_3T2_PL2017","SameMan-Cont",139,0.157653
2,"516_FED_20161217a_3T2_PL2017","SamePath-Cont",139,0.328113
2,"516_FED_20161217a_3T2_PL2017","SameAg-Cont",139,0.229941
2,"516_FED_20161217a_3T2_PL2017","SameAll-Cont",139,0.060267
2,"516_FED_20161217a_3T2_PL2017","All-Cont",139,0.155919
2,"516_FED_20161217a_3T2_PL2017","DiffAll-SameAll",139,-0.056644
2,"516_FED_20161217a_3T2_PL2017","DiffAll-SameMan",139,-0.154029
2,"516_FED_20161217a_3T2_PL2017","DiffAll-SamePath",139,-0.32449
2,"516_FED_20161217a_3T2_PL2017","DiffAll-SameAg",139,-0.226317
2,"516_FED_20161217a_3T2_PL2017","SameMan-SameAll",139,0.097386
2,"516_FED_20161217a_3T2_PL2017","SamePath-SameAll",139,0.267846
2,"516_FED_20161217a_3T2_PL2017","SameAg-SameAll",139,0.169674
2,"424_FED_20161228c_3T2_PL2017","SameAll",139,-0.049764
2,"424_FED_20161228c_3T2_PL2017","SameMan",139,-0.273308
2,"424_FED_20161228c_3T2_PL2017","SamePath",139,0.276676
2,"424_FED_20161228c_3T2_PL2017","SameAg",139,0.458733
2,"424_FED_20161228c_3T2_PL2017","DiffAll",139,-0.14366
2,"424_FED_20161228c_3T2_PL2017","Cont",139,-0.774433
2,"424_FED_20161228c_3T2_PL2017","DiffAll-Cont",139,0.630773
2,"424_FED_20161228c_3T2_PL2017","SameMan-Cont",139,0.501124
2,"424_FED_20161228c_3T2_PL2017","SamePath-Cont",139,1.051109
2,"424_FED_20161228c_3T2_PL2017","SameAg-Cont",139,1.233165
2,"424_FED_20161228c_3T2_PL2017","SameAll-Cont",139,0.724669
2,"424_FED_20161228c_3T2_PL2017","All-Cont",139,0.828168
2,"424_FED_20161228c_3T2_PL2017","DiffAll-SameAll",139,-0.093896
2,"424_FED_20161228c_3T2_PL2017","DiffAll-SameMan",139,0.129649
2,"424_FED_20161228c_3T2_PL2017","DiffAll-SamePath",139,-0.420336
2,"424_FED_20161228c_3T2_PL2017","DiffAll-SameAg",139,-0.602392
2,"424_FED_20161228c_3T2_PL2017","SameMan-SameAll",139,-0.223545
2,"424_FED_20161228c_3T2_PL2017","SamePath-SameAll",139,0.32644
2,"424_FED_20161228c_3T2_PL2017","SameAg-SameAll",139,0.508496
2,"426_FED_20161215c_3T2_PL2017","SameAll",139,-0.176428
2,"426_FED_20161215c_3T2_PL2017","SameMan",139,-0.85621
2,"426_FED_20161215c_3T2_PL2017","SamePath",139,-2.223926
2,"426_FED_20161215c_3T2_PL2017","SameAg",139,-0.281444
2,"426_FED_20161215c_3T2_PL2017","DiffAll",139,0.941235
2,"426_FED_20161215c_3T2_PL2017","Cont",139,0.872665
2,"426_FED_20161215c_3T2_PL2017","DiffAll-Cont",139,0.06857
2,"426_FED_20161215c_3T2_PL2017","SameMan-Cont",139,-1.728875
2,"426_FED_20161215c_3T2_PL2017","SamePath-Cont",139,-3.096591
2,"426_FED_20161215c_3T2_PL2017","SameAg-Cont",139,-1.154109
2,"426_FED_20161215c_3T2_PL2017","SameAll-Cont",139,-1.049093
2,"426_FED_20161215c_3T2_PL2017","All-Cont",139,-1.39202
2,"426_FED_20161215c_3T2_PL2017","DiffAll-SameAll",139,1.117663
2,"426_FED_20161215c_3T2_PL2017","DiffAll-SameMan",139,1.797446
2,"426_FED_20161215c_3T2_PL2017","DiffAll-SamePath",139,3.165161
2,"426_FED_20161215c_3T2_PL2017","DiffAll-SameAg",139,1.22268
2,"426_FED_20161215c_3T2_PL2017","SameMan-SameAll",139,-0.679782
2,"426_FED_20161215c_3T2_PL2017","SamePath-SameAll",139,-2.047498
2,"426_FED_20161215c_3T2_PL2017","SameAg-SameAll",139,-0.105016
3,"334_FED_20161221a_3T2_PL2017","SameAll",486,0.196648
3,"334_FED_20161221a_3T2_PL2017","SameMan",486,0.774996
3,"334_FED_20161221a_3T2_PL2017","SamePath",486,1.052756
3,"334_FED_20161221a_3T2_PL2017","SameAg",486,0.279208
3,"334_FED_20161221a_3T2_PL2017","DiffAll",486,0.05576
3,"334_FED_20161221a_3T2_PL2017","Cont",486,0.493657
3,"334_FED_20161221a_3T2_PL2017","DiffAll-Cont",486,-0.437896
3,"334_FED_20161221a_3T2_PL2017","SameMan-Cont",486,0.28134
3,"334_FED_20161221a_3T2_PL2017","SamePath-Cont",486,0.5591
3,"334_FED_20161221a_3T2_PL2017","SameAg-Cont",486,-0.214449
3,"334_FED_20161221a_3T2_PL2017","SameAll-Cont",486,-0.297009
3,"334_FED_20161221a_3T2_PL2017","All-Cont",486,-0.021783
3,"334_FED_20161221a_3T2_PL2017","DiffAll-SameAll",486,-0.140887
3,"334_FED_20161221a_3T2_PL2017","DiffAll-SameMan",486,-0.719236
3,"334_FED_20161221a_3T2_PL2017","DiffAll-SamePath",486,-0.996996
3,"334_FED_20161221a_3T2_PL2017","DiffAll-SameAg",486,-0.223448
3,"334_FED_20161221a_3T2_PL2017","SameMan-SameAll",486,0.578348
3,"334_FED_20161221a_3T2_PL2017","SamePath-SameAll",486,0.856109
3,"334_FED_20161221a_3T2_PL2017","SameAg-SameAll",486,0.08256
3,"479_FED_20161228d_3T2_PL2017","SameAll",486,-0.31287
3,"479_FED_20161228d_3T2_PL2017","SameMan",486,-0.448623
3,"479_FED_20161228d_3T2_PL2017","SamePath",486,0.146675
3,"479_FED_20161228d_3T2_PL2017","SameAg",486,0.392315
3,"479_FED_20161228d_3T2_PL2017","DiffAll",486,-0.714212
3,"479_FED_20161228d_3T2_PL2017","Cont",486,-0.517268
3,"479_FED_20161228d_3T2_PL2017","DiffAll-Cont",486,-0.196945
3,"479_FED_20161228d_3T2_PL2017","SameMan-Cont",486,0.068645
3,"479_FED_20161228d_3T2_PL2017","SamePath-Cont",486,0.663942
3,"479_FED_20161228d_3T2_PL2017","SameAg-Cont",486,0.909583
3,"479_FED_20161228d_3T2_PL2017","SameAll-Cont",486,0.204397
3,"479_FED_20161228d_3T2_PL2017","All-Cont",486,0.329925
3,"479_FED_20161228d_3T2_PL2017","DiffAll-SameAll",486,-0.401342
3,"479_FED_20161228d_3T2_PL2017","DiffAll-SameMan",486,-0.26559
3,"479_FED_20161228d_3T2_PL2017","DiffAll-SamePath",486,-0.860887
3,"479_FED_20161228d_3T2_PL2017","DiffAll-SameAg",486,-1.106527
3,"479_FED_20161228d_3T2_PL2017","SameMan-SameAll",486,-0.135752
3,"479_FED_20161228d_3T2_PL2017","SamePath-SameAll",486,0.459545
3,"479_FED_20161228d_3T2_PL2017","SameAg-SameAll",486,0.705185
3,"522_FED_20161228e_3T2_PL2017","SameAll",486,0.785753
3,"522_FED_20161228e_3T2_PL2017","SameMan",486,-0.565676
3,"522_FED_20161228e_3T2_PL2017","SamePath",486,0.045646
3,"522_FED_20161228e_3T2_PL2017","SameAg",486,-0.267476
3,"522_FED_20161228e_3T2_PL2017","DiffAll",486,0.338884
3,"522_FED_20161228e_3T2_PL2017","Cont",486,0.713168
3,"522_FED_20161228e_3T2_PL2017","DiffAll-Cont",486,-0.374284
3,"522_FED_20161228e_3T2_PL2017","SameMan-Cont",486,-1.278844
3,"522_FED_20161228e_3T2_PL2017","SamePath-Cont",486,-0.667522
3,"522_FED_20161228e_3T2_PL2017","SameAg-Cont",486,-0.980644
3,"522_FED_20161228e_3T2_PL2017","SameAll-Cont",486,0.072584
3,"522_FED_20161228e_3T2_PL2017","All-Cont",486,-0.645742
3,"522_FED_20161228e_3T2_PL2017","DiffAll-SameAll",486,-0.446869
3,"522_FED_20161228e_3T2_PL2017","DiffAll-SameMan",486,0.90456
3,"522_FED_20161228e_3T2_PL2017","DiffAll-SamePath",486,0.293238
3,"522_FED_20161228e_3T2_PL2017","DiffAll-SameAg",486,0.60636
3,"522_FED_20161228e_3T2_PL2017","SameMan-SameAll",486,-1.351428
3,"522_FED_20161228e_3T2_PL2017","SamePath-SameAll",486,-0.740106
3,"522_FED_20161228e_3T2_PL2017","SameAg-SameAll",486,-1.053229
3,"516_FED_20161217a_3T2_PL2017","SameAll",486,0.098041
3,"516_FED_20161217a_3T2_PL2017","SameMan",486,0.403396
3,"516_FED_20161217a_3T2_PL2017","SamePath",486,-0.035738
3,"516_FED_20161217a_3T2_PL2017","SameAg",486,0.804749
3,"516_FED_20161217a_3T2_PL2017","DiffAll",486,0.409683
3,"516_FED_20161217a_3T2_PL2017","Cont",486,0.790741
3,"516_FED_20161217a_3T2_PL2017","DiffAll-Cont",486,-0.381058
3,"516_FED_20161217a_3T2_PL2017","SameMan-Cont",486,-0.387345
3,"516_FED_20161217a_3T2_PL2017","SamePath-Cont",486,-0.826479
3,"516_FED_20161217a_3T2_PL2017","SameAg-Cont",486,0.014008
3,"516_FED_20161217a_3T2_PL2017","SameAll-Cont",486,-0.692699
3,"516_FED_20161217a_3T2_PL2017","All-Cont",486,-0.454715
3,"516_FED_20161217a_3T2_PL2017","DiffAll-SameAll",486,0.311641
3,"516_FED_20161217a_3T2_PL2017","DiffAll-SameMan",486,0.006287
3,"516_FED_20161217a_3T2_PL2017","DiffAll-SamePath",486,0.445421
3,"516_FED_20161217a_3T2_PL2017","DiffAll-SameAg",486,-0.395066
3,"516_FED_20161217a_3T2_PL2017","SameMan-SameAll",486,0.305355
3,"516_FED_20161217a_3T2_PL2017","SamePath-SameAll",486,-0.133779
3,"516_FED_20161217a_3T2_PL2017","SameAg-SameAll",486,0.706707
3,"424_FED_20161228c_3T2_PL2017","SameAll",486,-0.865524
3,"424_FED_20161228c_3T2_PL2017","SameMan",486,0.079791
3,"424_FED_20161228c_3T2_PL2017","SamePath",486,-0.138164
3,"424_FED_20161228c_3T2_PL2017","SameAg",486,0.000688
3,"424_FED_20161228c_3T2_PL2017","DiffAll",486,-0.61071
3,"424_FED_20161228c_3T2_PL2017","Cont",486,-0.838162
3,"424_FED_20161228c_3T2_PL2017","DiffAll-Cont",486,0.227452
3,"424_FED_20161228c_3T2_PL2017","SameMan-Cont",486,0.917953
3,"424_FED_20161228c_3T2_PL2017","SamePath-Cont",486,0.699998
3,"424_FED_20161228c_3T2_PL2017","SameAg-Cont",486,0.83885
3,"424_FED_20161228c_3T2_PL2017","SameAll-Cont",486,-0.027362
3,"424_FED_20161228c_3T2_PL2017","All-Cont",486,0.531378
3,"424_FED_20161228c_3T2_PL2017","DiffAll-SameAll",486,0.254814
3,"424_FED_20161228c_3T2_PL2017","DiffAll-SameMan",486,-0.690502
3,"424_FED_20161228c_3T2_PL2017","DiffAll-SamePath",486,-0.472546
3,"424_FED_20161228c_3T2_PL2017","DiffAll-SameAg",486,-0.611399
3,"424_FED_20161228c_3T2_PL2017","SameMan-SameAll",486,0.945316
3,"424_FED_20161228c_3T2_PL2017","SamePath-SameAll",486,0.72736
3,"424_FED_20161228c_3T2_PL2017","SameAg-SameAll",486,0.866213
3,"426_FED_20161215c_3T2_PL2017","SameAll",486,-0.291287
3,"426_FED_20161215c_3T2_PL2017","SameMan",486,1.093176
3,"426_FED_20161215c_3T2_PL2017","SamePath",486,-0.180561
3,"426_FED_20161215c_3T2_PL2017","SameAg",486,0.087452
3,"426_FED_20161215c_3T2_PL2017","DiffAll",486,1.992599
3,"426_FED_20161215c_3T2_PL2017","Cont",486,0.86435
3,"426_FED_20161215c_3T2_PL2017","DiffAll-Cont",486,1.128249
3,"426_FED_20161215c_3T2_PL2017","SameMan-Cont",486,0.228825
3,"426_FED_20161215c_3T2_PL2017","SamePath-Cont",486,-1.044911
3,"426_FED_20161215c_3T2_PL2017","SameAg-Cont",486,-0.776899
3,"426_FED_20161215c_3T2_PL2017","SameAll-Cont",486,-1.155637
3,"426_FED_20161215c_3T2_PL2017","All-Cont",486,-0.324074
3,"426_FED_20161215c_3T2_PL2017","DiffAll-SameAll",486,2.283886
3,"426_FED_20161215c_3T2_PL2017","DiffAll-SameMan",486,0.899424
3,"426_FED_20161215c_3T2_PL2017","DiffAll-SamePath",486,2.17316
3,"426_FED_20161215c_3T2_PL2017","DiffAll-SameAg",486,1.905148
3,"426_FED_20161215c_3T2_PL2017","SameMan-SameAll",486,1.384463
3,"426_FED_20161215c_3T2_PL2017","SamePath-SameAll",486,0.110726
3,"426_FED_20161215c_3T2_PL2017","SameAg-SameAll",486,0.378738
4,"334_FED_20161221a_3T2_PL2017","SameAll",510,0.278436
4,"334_FED_20161221a_3T2_PL2017","SameMan",510,0.792608
4,"334_FED_20161221a_3T2_PL2017","SamePath",510,-0.103081
4,"334_FED_20161221a_3T2_PL2017","SameAg",510,-0.489728
4,"334_FED_20161221a_3T2_PL2017","DiffAll",510,0.102218
4,"334_FED_20161221a_3T2_PL2017","Cont",510,0.215098
4,"334_FED_20161221a_3T2_PL2017","DiffAll-Cont",510,-0.112881
4,"334_FED_20161221a_3T2_PL2017","SameMan-Cont",510,0.57751
4,"334_FED_20161221a_3T2_PL2017","SamePath-Cont",510,-0.318179
4,"334_FED_20161221a_3T2_PL2017","SameAg-Cont",510,-0.704826
4,"334_FED_20161221a_3T2_PL2017","SameAll-Cont",510,0.063338
4,"334_FED_20161221a_3T2_PL2017","All-Cont",510,-0.099008
4,"334_FED_20161221a_3T2_PL2017","DiffAll-SameAll",510,-0.176219
4,"334_FED_20161221a_3T2_PL2017","DiffAll-SameMan",510,-0.690391
4,"334_FED_20161221a_3T2_PL2017","DiffAll-SamePath",510,0.205299
4,"334_FED_20161221a_3T2_PL2017","DiffAll-SameAg",510,0.591946
4,"334_FED_20161221a_3T2_PL2017","SameMan-SameAll",510,0.514172
4,"334_FED_20161221a_3T2_PL2017","SamePath-SameAll",510,-0.381517
4,"334_FED_20161221a_3T2_PL2017","SameAg-SameAll",510,-0.768164
4,"479_FED_20161228d_3T2_PL2017","SameAll",510,-0.232913
4,"479_FED_20161228d_3T2_PL2017","SameMan",510,-0.452061
4,"479_FED_20161228d_3T2_PL2017","SamePath",510,0.387852
4,"479_FED_20161228d_3T2_PL2017","SameAg",510,0.632654
4,"479_FED_20161228d_3T2_PL2017","DiffAll",510,-0.507784
4,"479_FED_20161228d_3T2_PL2017","Cont",510,-0.263861
4,"479_FED_20161228d_3T2_PL2017","DiffAll-Cont",510,-0.243923
4,"479_FED_20161228d_3T2_PL2017","SameMan-Cont",510,-0.1882
4,"479_FED_20161228d_3T2_PL2017","SamePath-Cont",510,0.651713
